Perusahaan,Tahun,TOBINQ,PDEBT,SIZE,LEV,LIQ,INTCOV,PROF,DR,GROWTH,FIRMAGE,y1,y2,y3,y4,y5,i1,i2,i3,i4,i5,i6,i7,i8,LogTobinsQ,LnTobinQ,Total Assets,LogAssets,MarkCap,LogMarkCap,LogAge,InterestExp,TotalDebt,AveInterestRate,FreeCashFlow
15,2013,0.844220774,1,10.33106437,0.316603425,1.836445548,-1.191,-0.003372064,1,-0.166191993,45,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.073543965,-0.169341237,21432082599,10.33106437,10158459633,10.00682786,1.653212514,60680398.82,6785470763,0.008942695,21432082599
16,2009,0.592625624,0,8.480554658,0.375844522,1.402223769,18.817,0.160016844,0,-0.002809322,31,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.227219575,-0.523192405,302381111,8.480554658,135000000,8.130333768,1.491361694,2571401.977,113648284,0.022625964,302381111
16,2010,0.532611735,0,8.524980694,0.189581054,1.862215045,52.607,0.099996934,0,0.0870326,32,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.273589269,-0.629962573,334950549,8.524980694,112500000,8.051152522,1.505149978,636683.8634,63500278,0.010026474,334950549
16,2011,0.613702171,0,8.522903662,0.195131098,1.402797685,69.753,0.057486983,0,0.114266785,33,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.21204234,-0.488245531,333352458,8.522903662,129000000,8.11058971,1.51851394,274732.6567,65047431,0.004223574,333352458
16,2012,0.455772038,0,8.523573885,0.227321115,1.436718932,7.852,0.020460617,0,-0.180769247,34,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.341252322,-0.78576251,333867300,8.523573885,93966113,7.972971262,1.531478917,869986.1182,75895087,0.01146301,333867300
16,2013,0.458757706,0,8.482293887,0.146260121,1.840771512,4.375,0.011709982,0,0.044502452,35,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.338416628,-0.779233083,303594491,8.482293887,121500000,8.084576278,1.544068044,812591.0857,44403767,0.018300048,303594491
17,2009,0.928381997,0,8.913796268,0.329731413,0.792378355,3.572,0.153897512,0,0.162620949,17,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.03227329,-0.074311996,819966799,8.913796268,532253746,8.726118727,1.230448921,35327785.55,270368811,0.130665166,819966799
17,2010,1.022427397,0,8.938413615,0.315036598,0.971599597,4.445,0.160186239,0,0.11142221,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0.009632478,0.022179601,867787949,8.938413615,669905577,8.826013593,1.255272505,31272820.7,273384963,0.114391151,867787949
17,2011,3.344157255,0,8.917863907,0.213052583,1.015776622,7.658,0.180541898,0,0.206981591,19,0,0,1,0,0,0,0,1,0,0,0,0,0,0.524286691,1.20721472,827682756,8.917863907,3009986700,9.478564577,1.278753601,19513112.56,176339949,0.110656222,827682756
17,2012,5.389967736,0,8.969040242,0.111762936,1.166231941,17.019,0.242186723,0,0.272951927,20,0,0,0,1,0,0,0,1,0,0,0,0,0,0.731586166,1.684539399,931194156,8.969040242,6019973400,9.779594572,1.301029996,13251240.44,104072993,0.127326409,931194156
17,2013,5.137407072,0,9.052231304,0.052155801,1.299329344,52.163,0.28598455,0,0.135519891,21,0,0,0,0,1,0,0,1,0,0,0,0,0,0.710743979,1.636548492,1127797958,9.052231304,6387044949,9.805299973,1.322219295,6183171.827,58821206,0.105118073,1127797958
18,2009,0.653135062,0,9.068227062,0.407887799,0.856337451,4.096,0.198552103,0,-0.264959989,35,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.184997002,-0.425971339,1170111000,9.068227062,439040000,8.64250409,1.544068044,56720703.13,477274000,0.118843061,1170111000
18,2010,0.593277277,0,9.132168401,0.329291186,1.820617588,1.614,0.051537381,0,-0.127759604,36,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.226742285,-0.522093406,1355715000,9.132168401,399840000,8.601886239,1.556302501,43289962.83,446425000,0.096970292,1355715000
18,2011,0.588550158,0,9.136904309,0.301546714,1.983047674,1.341,0.028596652,0,0.451150844,37,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.230216519,-0.530093126,1370579745,9.136904309,407680000,8.610319406,1.568201724,29227436.24,413293819,0.0707183,1370579745
18,2012,0.51641071,0,9.152291699,0.301453784,1.520335606,2.796,0.062206593,0,-0.099986851,38,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.28700476,-0.660852881,1420010969,9.152291699,283808000,8.453024633,1.579783597,31593005.72,428067680,0.073803763,1420010969
18,2013,0.474647374,0,9.196198664,0.3357657,3.734627362,2.715,0.069280296,0,-0.116123294,39,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.323628918,-0.745183122,1571081317,9.196198664,158368000,8.199667432,1.591064607,40090231.68,527515218,0.075998247,1571081317
19,2009,1.476438752,0,8.889221561,0.123886085,1.462988228,6.376,0.138814001,0,0.172501211,53,1,0,0,0,0,0,0,0,0,0,0,0,1,0.169215436,0.389632939,774857000,8.889221561,930658545,8.968790369,1.72427587,16869667.5,95994000,0.175736687,774857000
19,2010,1.88075702,0,8.992323718,0.529184309,1.510282696,47.904,0.164755517,0,0.101607277,54,0,1,0,0,0,0,0,0,0,0,0,0,1,0.274332692,0.631674366,982480000,8.992323718,1537609770,9.18684613,1.73239376,3379028.891,519913000,0.00649922,982480000
19,2011,1.533302612,0,9.049354881,0.508323716,1.59161301,336.753,0.162912939,0,0.196802811,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0.185627876,0.427423979,1120353000,9.049354881,1820853675,9.260275047,1.740362689,541999.6258,569502000,0.000951708,1120353000
19,2012,1.582134867,0,9.090725611,0.055727949,1.592985991,69.279,0.186811769,0,0.095539652,56,0,0,0,1,0,0,0,0,0,0,0,0,1,0.199243502,0.458775117,1232326000,9.090725611,2252463435,9.35265775,1.748188027,3322983.877,68675000,0.048387097,1232326000
19,2013,1.58732698,0,9.159373763,0.021562233,1.583880636,200.418,0.193842549,0,0.0092776,57,0,0,0,0,1,0,0,0,0,0,0,0,1,0.200666398,0.462051457,1443357000,9.159373763,2555939048,9.407550493,1.755874856,1396002.355,31122000,0.044855805,1443357000
