Firm,Year,CEI,BRIB_CORR,BUSS_ETH,FAIR_COMP,POL_CONTR,INDIG_PPL,IND_EC_IMP,0TH_ENG,ALT_CEI,BRD_EFFC,BRD_INDP,BRD_MEET,BRD_SIZE,BRD_COMPT,DIVIDEND,LOSS,TOT_ASSETS,SLACK,ROE
15,2014,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.94118,1.66667,2.00000,1.00000,2.50000,0.00000,1.00000,303255000000.00000,1853429000.00000,-0.19380
16,2011,0.45238,0.00000,0.50000,0.00000,0.00000,1.00000,1.00000,0.66670,0.50000,2.37500,1.66667,2.33333,3.00000,2.50000,191.90000,0.00000,3429981783882.00000,205336361583.00000,0.33060
16,2012,0.44444,0.00000,0.50000,0.50000,0.00000,1.00000,1.00000,0.66670,0.70000,2.35294,1.83333,2.66667,3.00000,2.50000,202.91262,0.00000,5143126179647.60000,432009705886.60000,0.26230
16,2013,0.47619,0.00000,0.50000,0.00000,0.50000,0.66670,1.00000,0.50000,0.50000,2.17647,1.83333,2.33333,3.00000,2.25000,84.63415,0.00000,6210268266599.80000,696646338537.50000,0.08760
16,2014,0.73333,0.80000,1.00000,0.00000,1.00000,0.66670,1.00000,0.66670,0.50000,2.29412,1.66667,2.66667,3.00000,2.50000,86.75000,0.00000,5846250000000.00000,817125000000.00000,0.01100
17,2011,0.37500,0.00000,0.50000,0.00000,0.25000,1.00000,1.00000,0.50000,0.50000,2.31250,2.00000,2.60000,3.00000,2.25000,0.00000,0.00000,480179000000.00000,156006000000.00000,0.03000
17,2012,0.37500,0.00000,0.50000,0.00000,0.25000,1.00000,1.00000,0.50000,0.50000,2.31250,2.00000,2.60000,3.00000,2.25000,0.00000,0.00000,480179000000.00000,156006000000.00000,0.03000
17,2013,0.46429,0.00000,0.50000,0.00000,0.25000,1.00000,1.00000,0.33330,0.50000,2.37500,2.00000,2.60000,3.00000,2.50000,0.00000,1.00000,626650000000.00000,167525579616.00000,0.04000
17,2014,0.46429,0.00000,0.50000,0.00000,0.25000,1.00000,1.00000,0.50000,0.50000,2.18750,2.33333,1.83333,3.00000,2.33333,0.00000,1.00000,724974000000.00000,126496469854.00000,-0.01000
18,2011,0.23810,0.00000,0.00000,0.00000,0.00000,0.33330,1.00000,0.33330,0.20000,1.66667,1.66667,1.50000,1.00000,2.50000,0.00000,0.00000,1382808000000.00000,39446855014.00000,0.00970
