,Firm,Year,CEI,BRIB_CORR,BUSS_ETH,FAIR_COMP,POL_CONTR,INDIG_PPL,IND_EC_IMP,0TH_ENG,ALT_CEI,BRD_EFFC,BRD_INDP,BRD_MEET,BRD_SIZE,BRD_COMPT,DIVIDEND,LOSS,TOT_ASSETS,SLACK,ROE,BRD_INDP_DIV,BRD_MEET_DIV,BRD_SIZE_DIV,BRD_COMPT_DIV,BRD_EFFC_DIV
90,23,2013,0.94762,0.8,1,1,1,1,1,0.8333,0.7,2.52941,2.33333,2.66667,3,2.5,47.09,0,13.3397518134,12.4460301707,0.032,109.8765097,125.5734903,141.27,117.725,119.1099169
91,23,2014,0.94762,0.8,1,1,1,1,1,0.8333,0.7,2.58824,2.5,2.66667,3,2.5,0,1,13.3432943863,12.4181206209,-0.0627,0,0,0,0,0
92,24,2011,0,0,0,0,0,0,0,0,0.1,1.9375,1.83333,2.16667,1,2.75,0,0,12.0722907142,11.7630553877,0.0413,0,0,0,0,0
93,24,2012,0.2619,0,0,0,0,0.6667,1,0.1667,0.2,1.76471,1.83333,1.83333,1,1.75,0,1,12.0839427828,7.9625336072,-0.003,0,0,0,0,0
94,24,2013,0.2619,0,0,0,0,0.6667,1,0.16667,0.2,2.05882,2,2,1,2.5,0,0,11.8055090138,9.9418062834,0,0,0,0,0,0
95,24,2014,0.2619,0,0,0,0,0.6667,1,0.1667,0.2,2.05882,2,2,1,2.5,0,1,10.0170333393,9.9418062834,-0.0004,0,0,0,0,0
96,25,2011,0.16667,0,0,0,0,0.6667,0.5,0,0,1.8125,1.83333,1.66667,1,2.75,0,0,12.1143719049,12.0001010555,0.15318,0,0,0,0,0
97,25,2012,0.29167,0,0,0,0.25,1,1,0.5,0.5,2.17647,1.83333,2.5,1,2.5,100,0,12.1862922441,11.8729953716,0.22,183.333,250,100,250,217.647
98,25,2013,0.39286,0,0,0,0.25,1,1,0.5,0.4,2.17647,1.83333,2.5,1,2.5,50,0,12.2028227639,11.9210371303,0.24,91.6665,125,50,125,108.8235
99,25,2014,0.36905,0,0,0,0.25,1,1,0.3333,0.4,2.17647,1.83333,2.5,1,2.5,50,1,12.0761319524,11.6491354702,-0.04,91.6665,125,50,125,108.8235
100,26,2011,0.44048,0,0.25,0,0,1,1,0.8333,0.7,1.95833,1.66667,1.66667,2,2.5,132.72727,0,13.342667033,12.5597488843,0.19,221.212559091,221.212559091,265.45454,331.818175,259.923794659
101,26,2012,0.93889,0.8,1,1,1,1,1,0.8333,0.7,2.35294,1.83333,2.66667,3,2.5,79.7,0,13.3550924032,12.2232942678,0.04,146.116401,212.533599,239.1,199.25,187.529318
102,26,2013,0.75714,0.8,1,0,0.5,1,1,1,0.7,2.52941,2.16667,2.66667,2,3,24.6,0,13.4443340877,12.4221312261,0.02,53.300082,65.600082,49.2,73.8,62.223486
103,26,2014,0.75714,0.8,1,0,0.5,1,1,1,0.8,2.52941,2.16667,2.66667,2,3,0,0,13.4650462172,12.5772849437,0.1,0,0,0,0,0
104,27,2011,0.07143,0,0,0,0,0.33333,0,0.1667,0.2,1.45833,1.83333,1,1,2,0,1,10.0117349137,9.7071632636,-0.519,0,0,0,0,0
105,27,2012,0.11111,0,0,0,0,0.3333,1,0.3333,0.4,1.66667,1.5,1.5,1,2.25,0,0,12.7463855205,10.9227850959,0.308,0,0,0,0,0
106,27,2013,0.35714,0,0,0,0,1,1,0.5,0.5,2.13333,2.16667,2,1,2.5,0,1,12.9922394697,11.5141815705,-0.101,0,0,0,0,0
107,27,2014,0.30952,0,0,0,0,0.6667,1,0.5,0.5,1.8,1.83333,1.5,1,2.25,0,0,13.0297463327,11.1510572726,0.09,0,0,0,0,0
108,28,2011,0.30952,0,0,0,0,1,1,0.1667,0.3,1.875,1.5,2.5,1,2.5,0,1,11.5854900817,11.1890211428,-0.06,0,0,0,0,0
109,28,2012,0.19444,0,0,0,0,1,0,0.1667,0.2,2,1.83333,2.5,1,2,0,1,11.4879132031,10.2888074379,-0.241,0,0,0,0,0
110,28,2013,0.33333,0,0,0,0,1,1,0.3333,0.3,2.33333,1.83333,3,1,2.75,0,1,11.3891603133,9.307420113,-0.2014,0,0,0,0,0
111,28,2014,0.16667,0,0,0,0,1,0,0.1667,0.2,2.33333,1.83333,3,1,2.75,0,1,12.4212409172,10.7575545895,-0.0253,0,0,0,0,0
112,29,2011,0.95238,1,1,1,1,1,1,0.6667,0.5,2.75,2.83333,2.66667,3,2.5,89,0,12.8175526116,11.8192701121,0.27,252.16637,237.33363,267,222.5,244.75
113,29,2012,0.94444,1,1,1,1,1,1,0.6667,0.5,2.70588,2.83333,2.66667,3,2.5,42.87,0,12.7874831451,11.8263340056,0.12,121.4648571,114.3201429,128.61,107.175,116.0010756
114,29,2013,0.70952,0.8,0.5,0,1,1,1,0.6667,0.5,2.52941,2.5,2.5,3,2.5,56.29,0,12.8967077235,11.787954708,0.13,140.725,140.725,168.87,140.725,142.3804889
115,29,2014,0.70952,0.8,0.5,0,1,1,1,0.6667,0.6,2.52941,2.5,2.5,3,2.5,0,0,12.9891149348,11.5616927667,0.13,0,0,0,0,0
116,30,2011,0.28571,0,0.5,0,0,0.3333,1,0.1667,0.1,1.79167,1.66667,2,1,2.5,0,0,11.3389572862,10.0179147083,0.01,0,0,0,0,0
117,30,2012,0.36111,0,0.25,0.25,0.5,1,1,0.1667,0.4,1.875,1.5,2,1,2.5,0,0,11.2455151354,10.1522744363,0.035,0,0,0,0,0
118,30,2013,0.5,0,0.75,0,0.75,0.6667,1,0.3333,0.2,1.88235,1.5,2,1,2.5,0,0,11.5144946247,10.115563104,0.0061,0,0,0,0,0
119,30,2014,0.46429,0,0.5,0,0.75,0.6667,1,0.3333,0.2,1.88235,1.5,2,1,2.5,0,0,11.5635439705,10.0134247523,0.0115,0,0,0,0,0
120,31,2011,0.42857,0,0,0.5,0.5,1,1,0,0.3,2.0625,2.16667,2.33333,1,2.75,0,0,11.1718455607,10.5221477744,0.4375,0,0,0,0,0
121,31,2012,0.19444,0,0,0,0,1,1,0.1667,0.3,2.3125,1.83333,2.8,1,2.75,0,0,11.1718463433,10.5221477744,0.233,0,0,0,0,0
122,31,2013,0.21429,0,0,0,0,0.3333,1,0.1667,0.1,2.52941,2.5,2.5,3,2.5,2,0,11.1958802885,10.6990299801,0.1972,5,5,6,5,5.05882
